Causas (lista reducida);Sexo;Nacionalidad;Total
001 Enfermedades infecciosas intestinales;Ambos sexos;Austria;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Bélgica;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Bulgaría;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Dinamarca;0
001 Enfermedades infecciosas intestinales;Ambos sexos;España;923
001 Enfermedades infecciosas intestinales;Ambos sexos;Finlandia;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Francia;3
001 Enfermedades infecciosas intestinales;Ambos sexos;Irlanda;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Italia;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Países Bajos;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Polonia;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Portugal;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Reino Unido;10
001 Enfermedades infecciosas intestinales;Ambos sexos;Rumanía;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Suecia;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Resto de la UE-27;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Noruega;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Rusia;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Suiza;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Ucrania;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Resto de EUROPA;0
001 Enfermedades infecciosas intestinales;Ambos sexos;PAÍSES DE ÁFRICA;2
001 Enfermedades infecciosas intestinales;Ambos sexos;Argelia;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Marruecos;2
001 Enfermedades infecciosas intestinales;Ambos sexos;Resto de ÁFRICA;0
001 Enfermedades infecciosas intestinales;Ambos sexos;PAÍSES DE AMÉRICA;2
001 Enfermedades infecciosas intestinales;Ambos sexos;Argentina;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Bolivia;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Brasil;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Colombia;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Cuba;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Ecuador;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Estados Unidos de América;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Perú;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Uruguay;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Resto de AMÉRICA;0
001 Enfermedades infecciosas intestinales;Ambos sexos;PAÍSES DE ASIA;0
001 Enfermedades infecciosas intestinales;Ambos sexos;China;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Resto de ASIA;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Resto de PAÍSES;0
001 Enfermedades infecciosas intestinales;Ambos sexos;No consta;0
